season,episode_num_in_season,episode_num_overall,title,directed_by,written_by,original_air_date,us_viewers
1,1,1,Pilot,Bryan Singer,David Shore,2004-11-16,7050000.0
1,2,2,Paternity,Peter O'Fallon,Lawrence Kaplow,2004-11-23,6090000.0
1,3,3,Occam's Razor,Bryan Singer,David Shore,2004-11-30,6330000.0
1,4,4,Maternity,Newton Thomas Sigel,Peter Blake,2004-12-07,6740000.0
1,5,5,Damned If You Do,Greg Yaitanes,Sara B. Cooper,2004-12-14,6910000.0
1,6,6,The Socratic Method,Peter Medak,John Mankiewicz,2004-12-21,6730000.0
1,7,7,Fidelity,Bryan Spicer,Thomas L. Moran,2004-12-28,6910000.0
1,8,8,Poison,Guy Ferland,Matt Witten,2005-01-25,12370000.0
1,9,9,DNR,Frederick King Keller,David Foster,2005-02-01,12750000.0
1,10,10,Histories,Dan Attias,Joel Thompson,2005-02-08,14970000.0
1,11,11,Detox,Nelson McCormick,Lawrence Kaplow & Thomas L. Moran,2005-02-15,14220000.0
1,12,12,Sports Medicine,Keith Gordon,John Mankiewicz & David Shore,2005-02-22,15530000.0
1,13,13,Cursed,Daniel Sackheim,Matt Witten & Peter Blake,2005-03-01,15530000.0
1,14,14,Control,Randy Zisk,Lawrence Kaplow,2005-03-15,17330000.0
1,15,15,Mob Rules,Tim Hunter,David Foster & John Mankiewicz,2005-03-22,17340000.0
1,16,16,Heavy,Fred Gerber,Thomas L. Moran,2005-03-29,18280000.0
1,17,17,Role Model,Peter O'Fallon,Matt Witten,2005-04-12,15040000.0
1,18,18,Babies & Bathwater,Bill Johnson,Story by: Peter BlakeTeleplay by: Peter Blake & David Shore,2005-04-19,17480000.0
1,19,19,Kids,Deran Sarafian,Thomas L. Moran & Lawrence Kaplow,2005-05-03,17140000.0
1,20,20,Love Hurts,Bryan Spicer,Sara B. Cooper,2005-05-10,18800000.0
1,21,21,Three Stories,Paris Barclay,David Shore,2005-05-17,17680000.0
1,22,22,Honeymoon,Frederick King Keller,Lawrence Kaplow & John Mankiewicz,2005-05-24,19520000.0
2,1,23,Acceptance,Dan Attias,Russel Friend & Garrett Lerner,2005-09-13,15910000.0
2,2,24,Autopsy,Deran Sarafian,Lawrence Kaplow,2005-09-20,13640000.0
2,3,25,Humpty Dumpty,Dan Attias,Matt Witten,2005-09-27,13370000.0
2,4,26,TB or Not TB,Peter O'Fallon,David Foster,2005-11-01,12180000.0
2,5,27,Daddy's Boy,Greg Yaitanes,Thomas L. Moran,2005-11-08,14150000.0
2,6,28,Spin,Fred Gerber,Sara Hess,2005-11-15,12950000.0
2,7,29,Hunting,Gloria Muzio,Liz Friedman,2005-11-22,14720000.0
2,8,30,The Mistake,David Semel,Peter Blake,2005-11-29,14910000.0
2,9,31,Deception,Deran Sarafian,Michael R. Perry,2005-12-13,14520000.0
2,10,32,Failure to Communicate,Jace Alexander,Doris Egan,2006-01-10,14830000.0
2,11,33,Need to Know,David Semel,Pamela Davis,2006-02-07,22240000.0
2,12,34,Distractions,Dan Attias,Lawrence Kaplow,2006-02-14,19200000.0
2,13,35,Skin Deep,Jim Hayman,Story by: Russel Friend & Garrett LernerTeleplay by: Russel Friend & Garrett Lerner & David Shore,2006-02-20,14180000.0
2,14,36,Sex Kills,David Semel,Matt Witten,2006-03-07,20560000.0
2,15,37,Clueless,Deran Sarafian,Thomas L. Moran,2006-03-28,21440000.0
2,16,38,Safe,Félix Alcalá,Peter Blake,2006-04-04,22710000.0
2,17,39,All In,Fred Gerber,David Foster,2006-04-11,21200000.0
2,18,40,Sleeping Dogs Lie,Greg Yaitanes,Sara Hess,2006-04-18,22640000.0
2,19,41,House vs. God,John F. Showalter,Doris Egan,2006-04-25,24520000.0
2,20,42,Euphoria: Part 1,Deran Sarafian,Matthew V. Lewis,2006-05-02,22710000.0
2,21,43,Euphoria: Part 2,Deran Sarafian,Russel Friend & Garrett Lerner & David Shore,2006-05-03,17160000.0
2,22,44,Forever,Daniel Sackheim,Liz Friedman,2006-05-09,24290000.0
2,23,45,Who's Your Daddy?,Martha Mitchell,Story by: Charles M. Duncan & John MankiewiczTeleplay by: John Mankiewicz & Lawrence Kaplow,2006-05-16,22380000.0
2,24,46,No Reason,David Shore,Story by: Lawrence Kaplow & David ShoreTeleplay by: David Shore,2006-05-23,25470000.0
3,1,47,Meaning,Deran Sarafian,Story by: Russel Friend & Garrett Lerner & Lawrence Kaplow & David ShoreTeleplay by: Lawrence Kaplow & David Shore,2006-09-05,19550000.0
3,2,48,Cane and Able,Daniel Sackheim,Story by: Russel Friend & Garrett Lerner & Lawrence Kaplow & David ShoreTeleplay by: Russel Friend & Garrett Lerner,2006-09-12,15740000.0
3,3,49,Informed Consent,Laura Innes,David Foster,2006-09-19,13670000.0
3,4,50,Lines in the Sand,Newton Thomas Sigel,David Hoselton,2006-09-26,14520000.0
3,5,51,Fools for Love,David Platt,Peter Blake,2006-10-31,14180000.0
3,6,52,Que Será Será,Deran Sarafian,Thomas L. Moran,2006-11-07,16110000.0
3,7,53,Son of Coma Guy,Dan Attias,Doris Egan,2006-11-14,14600000.0
3,8,54,Whac-A-Mole,Daniel Sackheim,Pamela Davis,2006-11-21,15200000.0
3,9,55,Finding Judas,Deran Sarafian,Sara Hess,2006-11-28,17300000.0
3,10,56,Merry Little Christmas,Tony To,Liz Friedman,2006-12-12,11770000.0
3,11,57,Words and Deeds,Daniel Sackheim,Leonard Dick,2007-01-09,17780000.0
3,12,58,"One Day, One Room",Juan J. Campanella,David Shore,2007-01-30,27340000.0
3,13,59,Needle in a Haystack,Peter O'Fallon,David Foster,2007-02-06,24880000.0
3,14,60,Insensitive,Deran Sarafian,Matthew V. Lewis,2007-02-13,25990000.0
3,15,61,Half-Wit,Katie Jacobs,Lawrence Kaplow,2007-03-06,24400000.0
3,16,62,Top Secret,Deran Sarafian,Thomas L. Moran,2007-03-27,20800000.0
3,17,63,Fetal Position,Matt Shakman,Russel Friend & Garrett Lerner,2007-04-03,20350000.0
3,18,64,Airborne,Elodie Keene,David Hoselton,2007-04-10,21570000.0
3,19,65,Act Your Age,Daniel Sackheim,Sara Hess,2007-04-17,22410000.0
3,20,66,House Training,Paul McCrane,Doris Egan,2007-04-24,20810000.0
3,21,67,Family,David Straiton,Liz Friedman,2007-05-01,21130000.0
3,22,68,Resignation,Martha Mitchell,Pamela Davis,2007-05-08,21360000.0
3,23,69,The Jerk,Daniel Sackheim,Leonard Dick,2007-05-15,21190000.0
3,24,70,Human Error,Katie Jacobs,Thomas L. Moran & Lawrence Kaplow,2007-05-29,17230000.0
4,1,71,Alone,Deran Sarafian,Story by: Peter BlakeTeleplay by: Peter Blake & David Shore,2007-09-25,14520000.0
4,2,72,The Right Stuff,Deran Sarafian,Doris Egan & Leonard Dick,2007-10-02,17440000.0
4,3,73,97 Seconds,David Platt,Russel Friend & Garrett Lerner,2007-10-09,18030000.0
4,4,74,Guardian Angels,Deran Sarafian,David Hoselton,2007-10-23,18100000.0
4,5,75,Mirror Mirror,David Platt,David Foster,2007-10-30,17290000.0
4,6,76,Whatever It Takes,Juan J. Campanella,Story by: Thomas L. MoranTeleplay by: Thomas L. Moran & Peter Blake,2007-11-06,18170000.0
4,7,77,Ugly,David Straiton,Sean Whitesell,2007-11-13,16950000.0
4,8,78,You Don't Want to Know,Lesli Linka Glatter,Sara Hess,2007-11-20,16880000.0
4,9,79,Games,Deran Sarafian,Eli Attie,2007-11-27,16960000.0
4,10,80,It's a Wonderful Lie,Matt Shakman,Pamela Davis,2008-01-29,22560000.0
4,11,81,Frozen,David Straiton,Liz Friedman,2008-02-03,29040000.0
4,12,82,Don't Ever Change,Deran Sarafian,Doris Egan & Leonard Dick,2008-02-05,23150000.0
4,13,83,No More Mr. Nice Guy,Deran Sarafian,David Hoselton & David Shore,2008-04-28,14510000.0
4,14,84,Living the Dream,David Straiton,Sara Hess & Liz Friedman,2008-05-05,13260000.0
