season,episode_num,title,original_air_date,imdb_rating,total_votes,desc
1,1,Pilot,16 Nov. 2004,8.6,4987,Young kindergarten teacher Rebecca Adler collapses in her classroom after losing intelligible speech while teaching students.
1,2,Paternity,23 Nov. 2004,8.2,3595,"The team helps a high school boy (16) who has double vision and night terrors. (Clinic Cases: Unvaccinated baby, man with boil on leg.)"
1,3,Occam's Razor,30 Nov. 2004,8.2,3381,"A college boy whose low blood pressure does not respond with IV fluids piques House's curiosity. Clinic Cases: A woman who had a cold last week, man with a sore throat, woman whose leg hurts after running 6 miles, a boy and his MP3 Player."
1,4,Maternity,7 Dec. 2004,8.4,3276,A nightmare scenario hits Princeton Plainsboro when babies in the maternity ward are hit by a potentially fatal epidemic. Clinic Cases: Woman with a parasite!
1,5,Damned If You Do,14 Dec. 2004,8.2,3158,A nun suffering from acute dermatitis and asthma treated by House with possibly the wrong medication comes dangerously close to death.
1,6,The Socratic Method,21 Dec. 2004,8.5,3113,"A 38-year-old mother, apparently suffering from thrombosis, alcoholism and schizophrenia, has only her underage 15-year-old son as caregiver."
1,7,Fidelity,28 Dec. 2004,8.2,3039,"A woman comes down with symptoms of African sleeping sickness, but there seems to be no way she could have contracted it. House and his aides must ask a few tough questions and make some tough decisions in order to try to save her."
1,8,Poison,25 Jan. 2005,8.1,2898,"A high school boy has hallucinations and collapses during an exam. When he does not respond to treatments, and the normal tests are negative, Foreman presents the case to House. Clinic Cases: A happy old lady."
1,9,DNR,1 Feb. 2005,8.8,3323,"A famous jazz trumpeter, diagnosed with ALS, signs a DNR form, but because House believes the diagnosis wrong, he breaks the law by resuscitating him."
1,10,Histories,8 Feb. 2005,8.5,2999,A delusional homeless woman is found unconscious in an acid house exhibiting a variety of symptoms which Foreman thinks she's faking.
1,11,Detox,15 Feb. 2005,8.7,3106,A girl crashes a Porsche after her boyfriend starts coughing up blood and continues to have unexplained bleeds. Clinic Cases: Cuddy gives House a month off clinic duties if he can spend a week off his pain meds.
1,12,Sports Medicine,22 Feb. 2005,8.0,2709,"A detoxed sports star about to make his comeback breaks his arm due to brittle bones. Clinic Cases: Woman with leg pain, man trying to remove his contact lenses, a dentist with various issues, and a hung over teenager - all in 70 seconds."
1,13,Cursed,1 Mar. 2005,8.2,2745,A young boy's fever lasts nearly a week after a Ouija board predicts he will die. Clinic Cases: Chase's case of a man with numb fingers.
1,14,Control,15 Mar. 2005,8.7,2937,Can House save a high powered female executive from the same problem that has left him in constant pain? A new head of the hospital board could cause problems. Clinic cases: A boy and his mute dad.
1,15,Mob Rules,22 Mar. 2005,8.0,2651,A Mob informer collapses before trial. Is he faking or is he really in a coma? Clinic Cases: A pair of brothers come in when the youngster gets toys stuck up his nose.
1,16,Heavy,29 Mar. 2005,8.4,2645,"A morbidly obese ten-year-old girl has a heart attack, and her mother insists that House and his team look past her weight to find the diagnosis. Meanwhile, Vogler pressures House to fire a member of his staff. Clinic Patients: Unidentified man with an infected pierced scrotum; overweight woman with a 30-pound tumor on her ovaries who refuses to have it removed, because she worries she will be unattractive."
1,17,Role Model,12 Apr. 2005,8.6,2754,"An ambitious and charismatic Black senator campaigning for the presidency falls ill from a mysterious malady, possibly AIDS."
1,18,Babies & Bathwater,19 Apr. 2005,8.9,3025,"While House and his team scramble to discover what's causing brain and kidney dysfunction in a pregnant woman, Vogler is on the warpath to get House fired."
1,19,Kids,3 May 2005,8.3,2693,"During a meningitis outbreak which overwhelms the clinic, House is drawn to a single patient: a 12-year-old competitive diver whose symptoms don't quite match everyone else's."
