"","season","episode_num_in_season","episode_num_overall","Episode","patients_name","medical_diagnosis","icd_code","category","organs_affected","directed_by","written_by","us_viewers","original_air_date","imdb_rating","total_votes","description"
"1",1,1,1,"Pilot","Rebecca Adler","Cysticercosis of central nervous system","B690","INFECTIOUS","NS","Bryan Singer","David Shore",7050000,"16 Nov. 2004",8.6,4987,"Young kindergarten teacher Rebecca Adler collapses in her classroom after losing intelligible speech while teaching students."
"2",1,2,2,"Paternity","Dan","Subacute sclerosing panencephalitis","A811","INFECTIOUS","NS","Peter O'Fallon","Lawrence Kaplow",6090000,"23 Nov. 2004",8.2,3595,"The team helps a high school boy (16) who has double vision and night terrors. (Clinic Cases: Unvaccinated baby, man with boil on leg.)"
"3",1,3,3,"Occam's Razor","Brandon Merrell","Poisoning: Drugs affecting uric acid metabolism","T504","METABOLIC","REN","Bryan Singer","David Shore",6330000,"30 Nov. 2004",8.2,3381,"A college boy whose low blood pressure does not respond with IV fluids piques House's curiosity. Clinic Cases: A woman who had a cold last week, man with a sore throat, woman whose leg hurts after running 6 miles, a boy and his MP3 Player."
"4",1,4,4,"Maternity","Baby Girl Hartig","Acute bronchitis due to echovirus","J207","PEDIATRIC","LUNGS","Newton Thomas Sigel","Peter Blake",6740000,"7 Dec. 2004",8.4,3276,"A nightmare scenario hits Princeton Plainsboro when babies in the maternity ward are hit by a potentially fatal epidemic. Clinic Cases: Woman with a parasite!"
"5",1,4,4,"Maternity","Baby Girl Hartig","Acute bronchitis due to echovirus","J207","RESP","LUNGS","Newton Thomas Sigel","Peter Blake",6740000,"7 Dec. 2004",8.4,3276,"A nightmare scenario hits Princeton Plainsboro when babies in the maternity ward are hit by a potentially fatal epidemic. Clinic Cases: Woman with a parasite!"
"6",1,4,4,"Maternity","Baby Boy Howson","Acute bronchitis due to echovirus","J207","PEDIATRIC","LUNGS","Newton Thomas Sigel","Peter Blake",6740000,"7 Dec. 2004",8.4,3276,"A nightmare scenario hits Princeton Plainsboro when babies in the maternity ward are hit by a potentially fatal epidemic. Clinic Cases: Woman with a parasite!"
"7",1,4,4,"Maternity","Baby Boy Howson","Acute bronchitis due to echovirus","J207","RESP","LUNGS","Newton Thomas Sigel","Peter Blake",6740000,"7 Dec. 2004",8.4,3276,"A nightmare scenario hits Princeton Plainsboro when babies in the maternity ward are hit by a potentially fatal epidemic. Clinic Cases: Woman with a parasite!"
"8",1,4,4,"Maternity","Baby Boy Chen-Lupino","Acute bronchitis due to echovirus","J207","PEDIATRIC","LUNGS","Newton Thomas Sigel","Peter Blake",6740000,"7 Dec. 2004",8.4,3276,"A nightmare scenario hits Princeton Plainsboro when babies in the maternity ward are hit by a potentially fatal epidemic. Clinic Cases: Woman with a parasite!"
"9",1,4,4,"Maternity","Baby Boy Chen-Lupino","Acute bronchitis due to echovirus","J207","RESP","LUNGS","Newton Thomas Sigel","Peter Blake",6740000,"7 Dec. 2004",8.4,3276,"A nightmare scenario hits Princeton Plainsboro when babies in the maternity ward are hit by a potentially fatal epidemic. Clinic Cases: Woman with a parasite!"
"10",1,4,4,"Maternity","?","Acute bronchitis due to echovirus","J207","PEDIATRIC","LUNGS","Newton Thomas Sigel","Peter Blake",6740000,"7 Dec. 2004",8.4,3276,"A nightmare scenario hits Princeton Plainsboro when babies in the maternity ward are hit by a potentially fatal epidemic. Clinic Cases: Woman with a parasite!"
"11",1,4,4,"Maternity","?","Acute bronchitis due to echovirus","J207","RESP","LUNGS","Newton Thomas Sigel","Peter Blake",6740000,"7 Dec. 2004",8.4,3276,"A nightmare scenario hits Princeton Plainsboro when babies in the maternity ward are hit by a potentially fatal epidemic. Clinic Cases: Woman with a parasite!"
"12",1,5,5,"Damned If You Do","Sister Mary Augustine","Toxic effect: Copper and its compounds","T564","METABOLIC","liver","Greg Yaitanes","Sara B. Cooper",6910000,"14 Dec. 2004",8.2,3158,"A nun suffering from acute dermatitis and asthma treated by House with possibly the wrong medication comes dangerously close to death."
"13",1,6,6,"The Socratic Method","Lucy Palmeiro","Deficiency of vitamin K","E561","NUTRITION","BV, BONES","Peter Medak","John Mankiewicz",6730000,"21 Dec. 2004",8.5,3113,"A 38-year-old mother, apparently suffering from thrombosis, alcoholism and schizophrenia, has only her underage 15-year-old son as caregiver."
"14",1,6,6,"The Socratic Method","Lucy Palmeiro","Deficiency of vitamin K","E561","NUTRITION","BV","Peter Medak","John Mankiewicz",6730000,"21 Dec. 2004",8.5,3113,"A 38-year-old mother, apparently suffering from thrombosis, alcoholism and schizophrenia, has only her underage 15-year-old son as caregiver."
"15",1,6,6,"The Socratic Method","Lucy Palmeiro","Malignant neoplasm: Liver cell carcinoma","C220","NEOPLASTIC","liver","Peter Medak","John Mankiewicz",6730000,"21 Dec. 2004",8.5,3113,"A 38-year-old mother, apparently suffering from thrombosis, alcoholism and schizophrenia, has only her underage 15-year-old son as caregiver."
"16",1,6,6,"The Socratic Method","Lucy Palmeiro","Disorders of copper metabolism","E830","METABOLIC","liver","Peter Medak","John Mankiewicz",6730000,"21 Dec. 2004",8.5,3113,"A 38-year-old mother, apparently suffering from thrombosis, alcoholism and schizophrenia, has only her underage 15-year-old son as caregiver."
"17",1,7,7,"Fidelity","Elise Snow","African trypanosomiasis","B56","INFECTIOUS","BV, NS","Bryan Spicer","Thomas L. Moran",6910000,"28 Dec. 2004",8.2,3039,"A woman comes down with symptoms of African sleeping sickness, but there seems to be no way she could have contracted it. House and his aides must ask a few tough questions and make some tough decisions in order to try to save her."
"18",1,8,8,"Poison","Matt Davis","Toxic effect: Organophosphate and carbamate insecticides","T600","METABOLIC","SKIN","Guy Ferland","Matt Witten",12370000,"25 Jan. 2005",8.1,2898,"A high school boy has hallucinations and collapses during an exam. When he does not respond to treatments, and the normal tests are negative, Foreman presents the case to House. Clinic Cases: A happy old lady."
"19",1,8,8,"Poison","Chi Ling","Toxic effect: Organophosphate and carbamate insecticides","T600","METABOLIC","SKIN","Guy Ferland","Matt Witten",12370000,"25 Jan. 2005",8.1,2898,"A high school boy has hallucinations and collapses during an exam. When he does not respond to treatments, and the normal tests are negative, Foreman presents the case to House. Clinic Cases: A happy old lady."
"20",1,9,9,"DNR","John Henry Giles","Arteriovenous fistula, acquired","I770","VASCULAR","BV","Frederick King Keller","David Foster",12750000,"1 Feb. 2005",8.8,3323,"A famous jazz trumpeter, diagnosed with ALS, signs a DNR form, but because House believes the diagnosis wrong, he breaks the law by resuscitating him."
"21",1,10,10,"Histories","Victoria Madsen","Rabies","A82","INFECTIOUS","NS","Dan Attias","Joel Thompson",14970000,"8 Feb. 2005",8.5,2999,"A delusional homeless woman is found unconscious in an acid house exhibiting a variety of symptoms which Foreman thinks she's faking."
"22",1,11,11,"Detox","Keith Foster","Toxic effect: Other insecticides","T602","METABOLIC","liver","Nelson McCormick","Lawrence Kaplow & Thomas L. Moran",14220000,"15 Feb. 2005",8.7,3106,"A girl crashes a Porsche after her boyfriend starts coughing up blood and continues to have unexplained bleeds. Clinic Cases: Cuddy gives House a month off clinic duties if he can spend a week off his pain meds."
"23",1,12,12,"Sports Medicine","Hank Wiggen","Toxic effect: Cadmium and its compounds","T563","METABOLIC","UG, LIVER","Keith Gordon","John Mankiewicz & David Shore",15530000,"22 Feb. 2005",8,2709,"A detoxed sports star about to make his comeback breaks his arm due to brittle bones. Clinic Cases: Woman with leg pain, man trying to remove his contact lenses, a dentist with various issues, and a hung over teenager - all in 70 seconds."
"24",1,13,13,"Cursed","Gabriel Reilich","Leprosy [Hansen disease]","A30","INFECTIOUS","SKIN","Daniel Sackheim","Matt Witten & Peter Blake",15530000,"1 Mar. 2005",8.2,2745,"A young boy's fever lasts nearly a week after a Ouija board predicts he will die. Clinic Cases: Chase's case of a man with numb fingers."
"25",1,14,14,"Control","Carly Forlano","Congestive heart failure","I500","HEART","heart""","Randy Zisk","Lawrence Kaplow",17330000,"15 Mar. 2005",8.7,2937,"Can House save a high powered female executive from the same problem that has left him in constant pain? A new head of the hospital board could cause problems. Clinic cases: A boy and his mute dad."
"26",1,14,14,"Control","Carly Forlano","Congestive heart failure","I500","VASCULAR","heart""","Randy Zisk","Lawrence Kaplow",17330000,"15 Mar. 2005",8.7,2937,"Can House save a high powered female executive from the same problem that has left him in constant pain? A new head of the hospital board could cause problems. Clinic cases: A boy and his mute dad."
"27",1,15,15,"Mob Rules","Joey Arnello","Disorders of ornithine metabolism","E724","METABOLIC","liver","Tim Hunter","David Foster & John Mankiewicz",17340000,"22 Mar. 2005",8,2651,"A Mob informer collapses before trial. Is he faking or is he really in a coma? Clinic Cases: A pair of brothers come in when the youngster gets toys stuck up his nose."
"28",1,16,16,"Heavy","Jessica Simms","Pituitary-dependent Cushing disease","E240","NEOPLASTIC","NS","Fred Gerber","Thomas L. Moran",18280000,"29 Mar. 2005",8.4,2645,"A morbidly obese ten-year-old girl has a heart attack, and her mother insists that House and his team look past her weight to find the diagnosis. Meanwhile, Vogler pressures House to fire a member of his staff. Clinic Patients: Unidentified man with an infected pierced scrotum; overweight woman with a 30-pound tumor on her ovaries who refuses to have it removed, because she worries she will be unattractive."
"29",1,17,17,"Role Model","Gary H. Wright","Immunodeficiency following hereditary defective response to Epstein-Barr virus","D823","AUTOIMMUNE","LYMPH NODE","Peter O'Fallon","Matt Witten",15040000,"12 Apr. 2005",8.6,2754,"An ambitious and charismatic Black senator campaigning for the presidency falls ill from a mysterious malady, possibly AIDS."
