"","X_id","category"
"1","T16","INFECTIOUS"
"2","D686","VASCULAR"
"3","T791","VASCULAR"
"4","B981","INFECTIOUS"
"5","D573","VASCULAR"
"6","T636","METABOLIC"
"7","E052","METABOLIC"
"8","T175","RESP"
"9","T498","METABOLIC"
"10","E032","METABOLIC"
"11","T182","GASTRO"
"12","T184","GASTRO"
"13","T42","METABOLIC"
"14","D86","AUTOIMMUNE"
"15","T173","RESP"
"16","D690","ALLERGIC"
"17","D820","AUTOIMMUNE"
"18","T36","METABOLIC"
"19","T578","METABOLIC"
"20","T568","METABOLIC"
"21","T454","METABOLIC"
"22","T384","METABOLIC"
"23","T446","METABOLIC"
"24","T509","METABOLIC"
"25","T598","METABOLIC"
"26","T54","METABOLIC"
"27","T703","RESP"
"28","T560","METABOLIC"
"29","T504","METABOLIC"
"30","D588","VASCULAR"
"31","T800","VASCULAR"
"32","L990","METABOLIC"
"33","L92","METABOLIC"
"34","T783","VASCULAR"
"35","W45","NEUROLOGIC"
"36","T670","NEUROLOGIC"
"37","E233","NEUROLOGIC"
"38","E272","GENITOURINARY"
"39","T432","PSYCHIATRIC"
"40","G835","PSYCHIATRIC"
"41","T523","METABOLIC"
"42","R442","PSYCHIATRIC"
"43","T56","METABOLIC"
"44","E883","NEOPLASTIC"
"45","D600","NEOPLASTIC"
"46","M726","CONNECTIVE"
"47","L93","AUTOIMMUNE"
"48","D695","AUTOIMMUNE"
"49","D823","AUTOIMMUNE"
"50","E240","NEOPLASTIC"
"51","T563","METABOLIC"
"52","T564","METABOLIC"
"53","T602","METABOLIC"
"54","T600","METABOLIC"
"55","E40","NUTRITION"
"56","E41","NUTRITION"
"57","E42","NUTRITION"
"58","E43","NUTRITION"
"59","E44","NUTRITION"
"60","E440","NUTRITION"
"61","E441","NUTRITION"
"62","E45","NUTRITION"
"63","E46","NUTRITION"
"64","E50","NUTRITION"
"65","E500","NUTRITION"
"66","E501","NUTRITION"
"67","E502","NUTRITION"
"68","E503","NUTRITION"
"69","E504","NUTRITION"
"70","E505","NUTRITION"
"71","E506","NUTRITION"
"72","E507","NUTRITION"
"73","E508","NUTRITION"
"74","E509","NUTRITION"
"75","E51","NUTRITION"
"76","E511","NUTRITION"
"77","E512","NUTRITION"
"78","E518","NUTRITION"
"79","E519","NUTRITION"
"80","E52","NUTRITION"
"81","E53","NUTRITION"
"82","E530","NUTRITION"
"83","E531","NUTRITION"
"84","E538","NUTRITION"
"85","E539","NUTRITION"
"86","E54","NUTRITION"
"87","E55","NUTRITION"
"88","E550","NUTRITION"
"89","E559","NUTRITION"
"90","E56","NUTRITION"
"91","E560","NUTRITION"
"92","E561","NUTRITION"
"93","E568","NUTRITION"
"94","E569","NUTRITION"
"95","E58","NUTRITION"
"96","E59","NUTRITION"
"97","E60","NUTRITION"
"98","E61","NUTRITION"
"99","E610","NUTRITION"
"100","E611","NUTRITION"
"101","E612","NUTRITION"
"102","E613","NUTRITION"
"103","E614","NUTRITION"
"104","E615","NUTRITION"
"105","E616","NUTRITION"
"106","E617","NUTRITION"
"107","E618","NUTRITION"
"108","E619","NUTRITION"
"109","E63","NUTRITION"
"110","E630","NUTRITION"
"111","E631","NUTRITION"
"112","E638","NUTRITION"
"113","E639","NUTRITION"
"114","E64","NUTRITION"
"115","E640","NUTRITION"
"116","E641","NUTRITION"
"117","E642","NUTRITION"
"118","E643","NUTRITION"
"119","E648","NUTRITION"
"120","E649","NUTRITION"
"121","E65","NUTRITION"
"122","E66","NUTRITION"
"123","E660","NUTRITION"
"124","E661","NUTRITION"
"125","E662","NUTRITION"
"126","E668","NUTRITION"
"127","E669","NUTRITION"
"128","E67","NUTRITION"
"129","E670","NUTRITION"
"130","E671","NUTRITION"
"131","E672","NUTRITION"
"132","E673","NUTRITION"
"133","E678","NUTRITION"
"134","E68","NUTRITION"
"135","A051","PEDIATRIC"
"136","B082","PEDIATRIC"
"137","C933","PEDIATRIC"
"138","E106","PEDIATRIC"
"139","E109","PEDIATRIC"
"140","E116","PEDIATRIC"
"141","E119","PEDIATRIC"
"142","E301","PEDIATRIC"
"143","E308","PEDIATRIC"
"144","F642","PEDIATRIC"
"145","F843","PEDIATRIC"
"146","F930","PEDIATRIC"
"147","F938","PEDIATRIC"
"148","F939","PEDIATRIC"
"149","F941","PEDIATRIC"
"150","F942","PEDIATRIC"
"151","F948","PEDIATRIC"
"152","F949","PEDIATRIC"
"153","F982","PEDIATRIC"
"154","F983","PEDIATRIC"
"155","F988","PEDIATRIC"
"156","F989","PEDIATRIC"
"157","G937","PEDIATRIC"
"158","H260","PEDIATRIC"
"159","H65","PEDIATRIC"
"160","H650","PEDIATRIC"
"161","H651","PEDIATRIC"
"162","H652","PEDIATRIC"
"163","H653","PEDIATRIC"
"164","H654","PEDIATRIC"
"165","H659","PEDIATRIC"
"166","H66","PEDIATRIC"
"167","H660","PEDIATRIC"
"168","H661","PEDIATRIC"
"169","H662","PEDIATRIC"
"170","H663","PEDIATRIC"
"171","H664","PEDIATRIC"
"172","H669","PEDIATRIC"
"173","H67","PEDIATRIC"
"174","H670","PEDIATRIC"
"175","H671","PEDIATRIC"
"176","H678","PEDIATRIC"
"177","J02","PEDIATRIC"
"178","J020","PEDIATRIC"
"179","J028","PEDIATRIC"
"180","J029","PEDIATRIC"
"181","J20","PEDIATRIC"
"182","J200","PEDIATRIC"
"183","J201","PEDIATRIC"
"184","J202","PEDIATRIC"
"185","J203","PEDIATRIC"
"186","J204","PEDIATRIC"
"187","J205","PEDIATRIC"
"188","J206","PEDIATRIC"
"189","J207","PEDIATRIC"
"190","J208","PEDIATRIC"
"191","J209","PEDIATRIC"
"192","J30","PEDIATRIC"
"193","J300","PEDIATRIC"
"194","J301","PEDIATRIC"
"195","J302","PEDIATRIC"
"196","J303","PEDIATRIC"
"197","J304","PEDIATRIC"
"198","J45","PEDIATRIC"
"199","J450","PEDIATRIC"
"200","J451","PEDIATRIC"
"201","J458","PEDIATRIC"
"202","J459","PEDIATRIC"
"203","L122","PEDIATRIC"
"204","L208","PEDIATRIC"
"205","L210","PEDIATRIC"
"206","L211","PEDIATRIC"
"207","L444","PEDIATRIC"
"208","L704","PEDIATRIC"
"209","M796","PEDIATRIC"
"210","N30","PEDIATRIC"
"211","N300","PEDIATRIC"
"212","N301","PEDIATRIC"
"213","N302","PEDIATRIC"
"214","N303","PEDIATRIC"
"215","N304","PEDIATRIC"
"216","N308","PEDIATRIC"
"217","N309","PEDIATRIC"
"218","N390","PEDIATRIC"
"219","N922","PEDIATRIC"
"220","R07","PEDIATRIC"
"221","R071","PEDIATRIC"
"222","R072","PEDIATRIC"
"223","R073","PEDIATRIC"
"224","R074","PEDIATRIC"
"225","R10","PEDIATRIC"
"226","R100","PEDIATRIC"
"227","R101","PEDIATRIC"
"228","R102","PEDIATRIC"
"229","R103","PEDIATRIC"
"230","R104","PEDIATRIC"
"231","R51","PEDIATRIC"
"232","R620","PEDIATRIC"
"233","R681","PEDIATRIC"
"234","T740","PEDIATRIC"
"235","T741","PEDIATRIC"
"236","T742","PEDIATRIC"
"237","T743","PEDIATRIC"
"238","T748","PEDIATRIC"
"239","T749","PEDIATRIC"
"240","Z001","PEDIATRIC"
"241","Z002","PEDIATRIC"
"242","Z003","PEDIATRIC"
"243","Z134","PEDIATRIC"
"244","Z622","PEDIATRIC"
"245","Z623","PEDIATRIC"
"246","Z762","PEDIATRIC"
"247","O00","OBSGYN"
"248","O000","OBSGYN"
"249","O001","OBSGYN"
"250","O002","OBSGYN"
"251","O008","OBSGYN"
"252","O009","OBSGYN"
"253","O01","OBSGYN"
"254","O010","OBSGYN"
"255","O011","OBSGYN"
"256","O019","OBSGYN"
"257","O02","OBSGYN"
"258","O020","OBSGYN"
"259","O021","OBSGYN"
"260","O028","OBSGYN"
"261","O029","OBSGYN"
"262","O03","OBSGYN"
"263","O030","OBSGYN"
"264","O031","OBSGYN"
"265","O032","OBSGYN"
"266","O033","OBSGYN"
"267","O034","OBSGYN"
"268","O035","OBSGYN"
"269","O036","OBSGYN"
"270","O037","OBSGYN"
"271","O038","OBSGYN"
"272","O039","OBSGYN"
"273","O04","OBSGYN"
"274","O040","OBSGYN"
"275","O041","OBSGYN"
"276","O042","OBSGYN"
"277","O043","OBSGYN"
"278","O044","OBSGYN"
"279","O045","OBSGYN"
"280","O046","OBSGYN"
"281","O047","OBSGYN"
"282","O048","OBSGYN"
"283","O049","OBSGYN"
"284","O05","OBSGYN"
"285","O050","OBSGYN"
"286","O051","OBSGYN"
"287","O052","OBSGYN"
"288","O053","OBSGYN"
"289","O054","OBSGYN"
"290","O055","OBSGYN"
"291","O056","OBSGYN"
"292","O057","OBSGYN"
"293","O058","OBSGYN"
"294","O059","OBSGYN"
"295","O06","OBSGYN"
"296","O060","OBSGYN"
"297","O061","OBSGYN"
"298","O062","OBSGYN"
"299","O063","OBSGYN"
"300","O064","OBSGYN"
"301","O065","OBSGYN"
"302","O066","OBSGYN"
"303","O067","OBSGYN"
"304","O068","OBSGYN"
"305","O069","OBSGYN"
"306","O07","OBSGYN"
"307","O070","OBSGYN"
"308","O071","OBSGYN"
"309","O072","OBSGYN"
"310","O073","OBSGYN"
"311","O074","OBSGYN"
"312","O075","OBSGYN"
"313","O076","OBSGYN"
"314","O077","OBSGYN"
"315","O078","OBSGYN"
"316","O079","OBSGYN"
"317","O08","OBSGYN"
"318","O080","OBSGYN"
"319","O081","OBSGYN"
"320","O082","OBSGYN"
"321","O083","OBSGYN"
"322","O084","OBSGYN"
"323","O085","OBSGYN"
"324","O086","OBSGYN"
"325","O087","OBSGYN"
"326","O088","OBSGYN"
"327","O089","OBSGYN"
"328","O10","OBSGYN"
"329","O100","OBSGYN"
"330","O101","OBSGYN"
"331","O102","OBSGYN"
"332","O103","OBSGYN"
"333","O104","OBSGYN"
"334","O109","OBSGYN"
"335","O11","OBSGYN"
"336","O12","OBSGYN"
"337","O120","OBSGYN"
"338","O121","OBSGYN"
"339","O122","OBSGYN"
"340","O13","OBSGYN"
"341","O14","OBSGYN"
"342","O140","OBSGYN"
"343","O141","OBSGYN"
"344","O149","OBSGYN"
"345","O15","OBSGYN"
"346","O150","OBSGYN"
"347","O151","OBSGYN"
"348","O152","OBSGYN"
"349","O159","OBSGYN"
"350","O16","OBSGYN"
"351","O20","OBSGYN"
"352","O200","OBSGYN"
"353","O208","OBSGYN"
"354","O209","OBSGYN"
"355","O21","OBSGYN"
"356","O210","OBSGYN"
"357","O211","OBSGYN"
"358","O212","OBSGYN"
"359","O218","OBSGYN"
"360","O219","OBSGYN"
"361","O22","OBSGYN"
"362","O220","OBSGYN"
"363","O221","OBSGYN"
"364","O222","OBSGYN"
"365","O223","OBSGYN"
"366","O224","OBSGYN"
"367","O225","OBSGYN"
"368","O228","OBSGYN"
"369","O229","OBSGYN"
"370","O23","OBSGYN"
"371","O230","OBSGYN"
"372","O231","OBSGYN"
"373","O232","OBSGYN"
"374","O233","OBSGYN"
"375","O234","OBSGYN"
"376","O235","OBSGYN"
"377","O239","OBSGYN"
"378","O24","OBSGYN"
"379","O240","OBSGYN"
"380","O241","OBSGYN"
"381","O242","OBSGYN"
"382","O243","OBSGYN"
"383","O244","OBSGYN"
"384","O249","OBSGYN"
"385","O25","OBSGYN"
"386","O26","OBSGYN"
"387","O260","OBSGYN"
"388","O261","OBSGYN"
"389","O262","OBSGYN"
"390","O263","OBSGYN"
"391","O264","OBSGYN"
"392","O265","OBSGYN"
"393","O266","OBSGYN"
"394","O267","OBSGYN"
"395","O268","OBSGYN"
"396","O269","OBSGYN"
"397","O28","OBSGYN"
"398","O280","OBSGYN"
"399","O281","OBSGYN"
"400","O282","OBSGYN"
"401","O283","OBSGYN"
"402","O284","OBSGYN"
"403","O285","OBSGYN"
"404","O288","OBSGYN"
"405","O289","OBSGYN"
"406","O29","OBSGYN"
"407","O290","OBSGYN"
"408","O291","OBSGYN"
"409","O292","OBSGYN"
"410","O293","OBSGYN"
"411","O294","OBSGYN"
"412","O295","OBSGYN"
"413","O296","OBSGYN"
"414","O298","OBSGYN"
"415","O299","OBSGYN"
"416","O30","OBSGYN"
"417","O300","OBSGYN"
"418","O301","OBSGYN"
"419","O302","OBSGYN"
"420","O308","OBSGYN"
"421","O309","OBSGYN"
"422","O31","OBSGYN"
"423","O310","OBSGYN"
"424","O311","OBSGYN"
"425","O312","OBSGYN"
"426","O318","OBSGYN"
"427","O32","OBSGYN"
"428","O320","OBSGYN"
"429","O321","OBSGYN"
"430","O322","OBSGYN"
"431","O323","OBSGYN"
"432","O324","OBSGYN"
"433","O325","OBSGYN"
"434","O326","OBSGYN"
"435","O328","OBSGYN"
"436","O329","OBSGYN"
"437","O33","OBSGYN"
"438","O330","OBSGYN"
"439","O331","OBSGYN"
"440","O332","OBSGYN"
"441","O333","OBSGYN"
"442","O334","OBSGYN"
"443","O335","OBSGYN"
"444","O336","OBSGYN"
"445","O337","OBSGYN"
"446","O338","OBSGYN"
"447","O339","OBSGYN"
"448","O34","OBSGYN"
"449","O340","OBSGYN"
"450","O341","OBSGYN"
"451","O342","OBSGYN"
"452","O343","OBSGYN"
"453","O344","OBSGYN"
"454","O345","OBSGYN"
"455","O346","OBSGYN"
"456","O347","OBSGYN"
"457","O348","OBSGYN"
"458","O349","OBSGYN"
"459","O35","OBSGYN"
"460","O350","OBSGYN"
"461","O351","OBSGYN"
"462","O352","OBSGYN"
"463","O353","OBSGYN"
"464","O354","OBSGYN"
"465","O355","OBSGYN"
"466","O356","OBSGYN"
"467","O357","OBSGYN"
"468","O358","OBSGYN"
"469","O359","OBSGYN"
"470","O36","OBSGYN"
"471","O360","OBSGYN"
"472","O361","OBSGYN"
"473","O362","OBSGYN"
"474","O363","OBSGYN"
"475","O364","OBSGYN"
"476","O365","OBSGYN"
"477","O366","OBSGYN"
"478","O367","OBSGYN"
"479","O368","OBSGYN"
"480","O369","OBSGYN"
"481","O40","OBSGYN"
"482","O41","OBSGYN"
"483","O410","OBSGYN"
"484","O411","OBSGYN"
"485","O418","OBSGYN"
"486","O419","OBSGYN"
"487","O42","OBSGYN"
"488","O420","OBSGYN"
"489","O421","OBSGYN"
"490","O422","OBSGYN"
"491","O429","OBSGYN"
"492","O43","OBSGYN"
"493","O430","OBSGYN"
"494","O431","OBSGYN"
"495","O438","OBSGYN"
"496","O439","OBSGYN"
"497","O44","OBSGYN"
"498","O440","OBSGYN"
"499","O441","OBSGYN"
"500","O45","OBSGYN"
"501","O450","OBSGYN"
"502","O458","OBSGYN"
"503","O459","OBSGYN"
"504","O46","OBSGYN"
"505","O460","OBSGYN"
