field0_name,field0_ref,field1_name,field1_ref,_model,_id
name,T16,disease_group,health.INFECTIOUS,gnuhealth.disease_group.members,INFECTIOUS-T16
name,D686,disease_group,health.VASCULAR,gnuhealth.disease_group.members,VASCULAR-D686
name,T791,disease_group,health.VASCULAR,gnuhealth.disease_group.members,VASCULAR-T791
name,B981,disease_group,health.INFECTIOUS,gnuhealth.disease_group.members,INFECTIOUS-B981
name,D573,disease_group,health.VASCULAR,gnuhealth.disease_group.members,VASCULAR-D573
name,T636,disease_group,health.METABOLIC,gnuhealth.disease_group.members,METABOLIC-T636
name,E052,disease_group,health.METABOLIC,gnuhealth.disease_group.members,METABOLIC-E052
name,T175,disease_group,health.RESP,gnuhealth.disease_group.members,RESP-T175
name,T498,disease_group,health.METABOLIC,gnuhealth.disease_group.members,METABOLIC-T498
name,E032,disease_group,health.METABOLIC,gnuhealth.disease_group.members,METABOLIC-E032
name,T182,disease_group,health.GASTRO,gnuhealth.disease_group.members,GASTRO-T182
name,T184,disease_group,health.GASTRO,gnuhealth.disease_group.members,GASTRO-T184
name,T42,disease_group,health.METABOLIC,gnuhealth.disease_group.members,METABOLIC-T42
name,D86,disease_group,health.AUTOIMMUNE,gnuhealth.disease_group.members,AUTOIMMUNE-D86
name,T173,disease_group,health.RESP,gnuhealth.disease_group.members,RESP-T173
name,D690,disease_group,health.ALLERGIC,gnuhealth.disease_group.members,ALLERGIC-D690
name,D820,disease_group,health.AUTOIMMUNE,gnuhealth.disease_group.members,AUTOIMMUNE-D820
name,T36,disease_group,health.METABOLIC,gnuhealth.disease_group.members,METABOLIC-T36
name,T578,disease_group,health.METABOLIC,gnuhealth.disease_group.members,METABOLIC-T578
name,T568,disease_group,health.METABOLIC,gnuhealth.disease_group.members,METABOLIC-T568
name,T454,disease_group,health.METABOLIC,gnuhealth.disease_group.members,METABOLIC-T454
name,T384,disease_group,health.METABOLIC,gnuhealth.disease_group.members,METABOLIC-T384
name,T446,disease_group,health.METABOLIC,gnuhealth.disease_group.members,METABOLIC-T446
name,T509,disease_group,health.METABOLIC,gnuhealth.disease_group.members,METABOLIC-T509
name,T598,disease_group,health.METABOLIC,gnuhealth.disease_group.members,METABOLIC-T598
name,T54,disease_group,health.METABOLIC,gnuhealth.disease_group.members,METABOLIC-T54
name,T703,disease_group,health.RESP,gnuhealth.disease_group.members,RESP-T703
name,T560,disease_group,health.METABOLIC,gnuhealth.disease_group.members,METABOLIC-T560
name,T504,disease_group,health.METABOLIC,gnuhealth.disease_group.members,METABOLIC-T504
name,D588,disease_group,health.VASCULAR,gnuhealth.disease_group.members,VASCULAR-D588
name,T800,disease_group,health.VASCULAR,gnuhealth.disease_group.members,VASCULAR-T800
name,L990,disease_group,health.METABOLIC,gnuhealth.disease_group.members,METABOLIC-L990
name,L92,disease_group,health.METABOLIC,gnuhealth.disease_group.members,METABOLIC-L92
