field/0/__text;field/1/__text;field/2/_ref;_id
Cholera;A00;icdcat1-1;A00
Cholera due to Vibrio cholerae 01, biovar cholerae;A00.0;icdcat1-1;A000
Cholera due to Vibrio cholerae 01, biovar eltor;A00.1;icdcat1-1;A001
Cholera, unspecified;A00.9;icdcat1-1;A009
Typhoid and paratyphoid fevers;A01;icdcat1-1;A01
Typhoid fever;A01.0;icdcat1-1;A010
Paratyphoid fever A;A01.1;icdcat1-1;A011
Paratyphoid fever B;A01.2;icdcat1-1;A012
Paratyphoid fever C;A01.3;icdcat1-1;A013
Paratyphoid fever, unspecified;A01.4;icdcat1-1;A014
Other salmonella infections;A02;icdcat1-1;A02
Salmonella enteritis;A02.0;icdcat1-1;A020
Salmonella sepsis;A02.1;icdcat1-1;A021
Localized salmonella infections;A02.2;icdcat1-1;A022
Other specified salmonella infections;A02.8;icdcat1-1;A028
Salmonella infection, unspecified;A02.9;icdcat1-1;A029
Shigellosis;A03;icdcat1-1;A03
Shigellosis due to Shigella dysenteriae;A03.0;icdcat1-1;A030
Shigellosis due to Shigella flexneri;A03.1;icdcat1-1;A031
Shigellosis due to Shigella boydii;A03.2;icdcat1-1;A032
Shigellosis due to Shigella sonnei;A03.3;icdcat1-1;A033
Other shigellosis;A03.8;icdcat1-1;A038
Shigellosis, unspecified;A03.9;icdcat1-1;A039
Other bacterial intestinal infections;A04;icdcat1-1;A04
Enteropathogenic Escherichia coli infection;A04.0;icdcat1-1;A040
Enterotoxigenic Escherichia coli infection;A04.1;icdcat1-1;A041
Enteroinvasive Escherichia coli infection;A04.2;icdcat1-1;A042
Enterohaemorrhagic Escherichia coli infection;A04.3;icdcat1-1;A043
Other intestinal Escherichia coli infections;A04.4;icdcat1-1;A044
Campylobacter enteritis;A04.5;icdcat1-1;A045
Enteritis due to Yersinia enterocolitica;A04.6;icdcat1-1;A046
Enterocolitis due to Clostridium difficile;A04.7;icdcat1-1;A047
Other specified bacterial intestinal infections;A04.8;icdcat1-1;A048
Bacterial intestinal infection, unspecified;A04.9;icdcat1-1;A049
Other bacterial foodborne intoxications, not elsewhere classified;A05;icdcat1-1;A05
Foodborne staphylococcal intoxication;A05.0;icdcat1-1;A050
Botulism;A05.1;icdcat1-1;A051
Foodborne Clostridium perfringens [Clostridium welchii] intoxication;A05.2;icdcat1-1;A052
Foodborne Vibrio parahaemolyticus intoxication;A05.3;icdcat1-1;A053
Foodborne Bacillus cereus intoxication;A05.4;icdcat1-1;A054
Other specified bacterial foodborne intoxications;A05.8;icdcat1-1;A058
Bacterial foodborne intoxication, unspecified;A05.9;icdcat1-1;A059
Amoebiasis;A06;icdcat1-1;A06
Acute amoebic dysentery;A06.0;icdcat1-1;A060
Chronic intestinal amoebiasis;A06.1;icdcat1-1;A061
Amoebic nondysenteric colitis;A06.2;icdcat1-1;A062
Amoeboma of intestine;A06.3;icdcat1-1;A063
Amoebic liver abscess;A06.4;icdcat1-1;A064
Amoebic lung abscess;A06.5;icdcat1-1;A065
Amoebic brain abscess;A06.6;icdcat1-1;A066
Cutaneous amoebiasis;A06.7;icdcat1-1;A067
Amoebic infection of other sites;A06.8;icdcat1-1;A068
Amoebiasis, unspecified;A06.9;icdcat1-1;A069
Other protozoal intestinal diseases;A07;icdcat1-1;A07
Balantidiasis;A07.0;icdcat1-1;A070
Giardiasis [lambliasis];A07.1;icdcat1-1;A071
Cryptosporidiosis;A07.2;icdcat1-1;A072
Isosporiasis;A07.3;icdcat1-1;A073
Other specified protozoal intestinal diseases;A07.8;icdcat1-1;A078
Protozoal intestinal disease, unspecified;A07.9;icdcat1-1;A079
Viral and other specified intestinal infections;A08;icdcat1-1;A08
Rotaviral enteritis;A08.0;icdcat1-1;A080
Acute gastroenteropathy due to Norwalk agent;A08.1;icdcat1-1;A081
Adenoviral enteritis;A08.2;icdcat1-1;A082
Other viral enteritis;A08.3;icdcat1-1;A083
Viral intestinal infection, unspecified;A08.4;icdcat1-1;A084
Other specified intestinal infections;A08.5;icdcat1-1;A085
Other gastroenteritis and colitis of infectious and unspecified origin;A09;icdcat1-1;A09
Respiratory tuberculosis, bacteriologically and histologically confirmed;A15;icdcat1-2;A15
Tuberculosis of lung, confirmed by sputum microscopy with or without culture;A15.0;icdcat1-2;A150
Tuberculosis of lung, confirmed by culture only;A15.1;icdcat1-2;A151
